address,is_root,discovery_depth,in_degree,out_degree,total_degree
0x4f89fb6893499c2ada917c2aa67405c201a48253,true,0,0,1,1
0x8a6ddf7670913bc3b0e6f41bcc79ccb6b6ccd09d,false,1,1,1,2
0x9642b23ed1e01df1092b92641051881a322f5d4e,false,2,4182,5817,9999
0x000061098769e3558c3a7a86a58aa7046221795e,false,3,1,0,1
0x002d2b05e6b55cf720129caee2852b99b1779787,false,3,0,1,1
0x003372b4039a8b531fe2fa1583d139d3593446b8,false,3,5,0,5
0x004ca129c71da487afd603bb123b12398a3c5a23,false,3,4,0,4
0x0051cc1d8bbf0b3373b02e22ea5a2fe483266cea,false,3,55,0,55
0x005340befd099952d9434e09c07ff614a1510a66,false,3,0,2,2
0x0058962144b9ae405ee629b930262c97daa66826,false,3,16,0,16
0x007a5cec5d1a3e03c30d748a4970b8337bb38fa1,false,3,3,0,3
0x007fe362aa9d8f480bdae4c71e57ba06fba03684,false,3,3,0,3
0x00923cb9ec8464619cfe3eaa4346b86236fcc351,false,3,0,1,1
0x00ad7d991a51e44ae351b6cab2eb9828ddabaf53,false,3,4,0,4
0x00cfb84b2f98ba70ab588eab1407ae1dfcccc676,false,3,0,1,1
0x00debf90dde729b59602ee90e9dc945e010af465,false,3,0,37,37
0x0109f05fee50fc2fb80812914b4c72c320986bf0,false,3,0,1,1
0x0116d1645e5cd365f6a7b08b260eacbe309fba9f,false,3,0,1,1
0x01524e8a9cb3f73d7f49abad8f2e8a9fca75fde4,false,3,1,0,1
0x01540228a1468d069370d6d5837a121e333dd108,false,3,1,0,1
0x0158bcb7b937fc6c48f595389e0363306fc283ef,false,3,0,1,1
0x0188a23e0a0bd4512a4cca1a21593a011a130eb3,false,3,1,0,1
0x018cf36803663adff658824ae638bcf4b8c60575,false,3,0,2,2
0x018f84affce4661cc04af4d04b7e2aa02076e5ed,false,3,0,1,1
0x019f1e9c0bcb48c25dfcb76cdff5d3c1070d95a5,false,3,0,1,1
0x01ab585585d4f8411998ca5a34e0865869bc81ad,false,3,1,0,1
0x01ba37edaf57e8d0d4af3fc68d4d1452eef32c6d,false,3,1,0,1
0x020ab13274bbc13a323939b92f54eb802034e009,false,3,2,0,2
0x022fb2b1b995eef8753196167c17068d15160144,false,3,5,0,5
0x024c315cdd4551b4c04d07cac4642631cf38ab95,false,3,0,5,5
0x0255fcf88d78da37ca912a5fa6759818e3984466,false,3,4,0,4
0x030d375d4136a34a6c704d5c3d5770c7b46e4c72,false,3,0,2,2
0x030e2d77766077b7fc77d3b53d73ca635029fc9f,false,3,2,0,2
0x032f18275e63ad106fa0d4d3cdba3de0c1cb77de,false,3,0,22,22
0x035385966f2f476c8d03a4f419e63d5c6be9c6e3,false,3,3,0,3
0x03579ecb0ba3487417491049187d2aac23b27f43,false,3,1,0,1
0x035ae7d933dcbfe617ffba194a88af0c2867b90c,false,3,51,0,51
0x035f2ade029f1d198f24de2a67a26d0cdf40ea49,false,3,2,0,2
0x03631c388fb01e0d929627b614eeb501c0ef9dce,false,3,0,130,130
0x03d7ebd2ab2c60854167d1deb41023c04488543f,false,3,0,29,29
0x03d8d222a0dda7bf318caf216e662c05009b6f36,false,3,1,0,1
0x0417aedd07e33e841fa38c268d54d35ca58473f5,false,3,1,0,1
0x041ca3afc8678836c21b18e2bb49c18ed25000d5,false,3,5,0,5
0x047651bd2df4c0acfdd2aac0e4b3eb7397014199,false,3,0,1,1
0x04b2e8e63a2554104040f356026eda48210acaed,false,3,0,3,3
0x04c0e9b7ac9337362bcad5a86c0e11a31cc75b93,false,3,0,1,1
0x04cf611980c04ef62a9a1524236fb51a88decd2a,false,3,0,2,2
0x04f3c684ef184f249dd11cd1f3ec8f677586a397,false,3,0,4,4
0x0505a082d5e68f4d4beaedfab9d132f2dfa96745,false,3,270,0,270
0x050d7a5d2c230f1bedfedd7578a3f5e342fbde29,false,3,0,1,1
0x051b016249d8c3dc369d5bd3e43f75425a82b998,false,3,0,1,1
0x0568f9766757576b306a3f866c8ddcb81fcc94fe,false,3,0,1,1
