from_address,to_address,block_number,source,asset_address,asset_symbol,token_name,token_decimals,raw_value,value_display,transaction_hash,csv_file_path,csv_row_number
0x4215a14e08f6805b273560d2c88fda2d1ba9d4b3,0x4f89fb6893499c2ada917c2aa67405c201a48253,25117935,token_transfer,0x43e6228b5bf22eab754486082ca91fdd8585521a,0x43e6228b5bf22eab754486082ca91fdd8585521a,,,20000000,20000000,0x5d9d38de30f52e3b789fff744d93c0cda6f25d0ca59696fb918d3bf5218ba3dc,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25117901_25118000/token_transfer_25117935.csv,442
0x8c30b75024a029306b092b8f4e5f06cc10bd2744,0x4215a14e08f6805b273560d2c88fda2d1ba9d4b3,25117933,token_transfer,0x43e6228b5bf22eab754486082ca91fdd8585521a,0x43e6228b5bf22eab754486082ca91fdd8585521a,,,9000000000,9000000000,0xbb3591dc755e615c749e8fa0932f2c3c23dc853e22df12fd39851e770c4e60de,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25117901_25118000/token_transfer_25117933.csv,114
0x7e41d7a28536db1774bb9c432615eae8e7b85517,0x8c30b75024a029306b092b8f4e5f06cc10bd2744,25116678,transaction,ETH,ETH,Ether,18,2000000000000000000,2,0x64688dc5af940521f3c7179768d5ac7cc3955589e8f291f45cd5485fd420a982,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25116601_25116700/transaction_25116678.csv,58
0xf84bd20098cbf4148dc24177ef37d778af5ab390,0x7e41d7a28536db1774bb9c432615eae8e7b85517,25116677,transaction,ETH,ETH,Ether,18,259367634582826560,0.25936763458282656,0xf88809eac0095e3b718788e65f30570bacbbb1185a22ae2ecf1240378168b212,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25116601_25116700/transaction_25116677.csv,40
0x67fddb541c4ed17123658f2881a076cd7871d60d,0xf84bd20098cbf4148dc24177ef37d778af5ab390,25114092,transaction,ETH,ETH,Ether,18,1000000000,0.000000001,0x92f62fefee6927fdbe5994101e96d5fb38905a9c741766ad94a5ad857ac3d257,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114001_25114100/transaction_25114092.csv,158
0x67fd91182cfc427c1b210ab440a8e78e5a1bd60d,0xf84bd20098cbf4148dc24177ef37d778af5ab390,25114078,transaction,ETH,ETH,Ether,18,1000000000,0.000000001,0x5c5c57bd733f7ae496e3ec7742bfd9ff3bb86d44f7a44eec4da8cc1cf1d0c57b,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114001_25114100/transaction_25114078.csv,190
0x67fddb541c4ed17123658f2881a076cd7871d60d,0xf84bd20098cbf4148dc24177ef37d778af5ab390,25114077,transaction,ETH,ETH,Ether,18,1000000000,0.000000001,0x54ad16ee52936212aea5337afee325c36c316f089b220fa977a5883963c8a1d9,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114001_25114100/transaction_25114077.csv,340
0xea214f99b1feb36fadcbcf4c7c09a4d7e05c4af7,0xf84bd20098cbf4148dc24177ef37d778af5ab390,25114061,transaction,ETH,ETH,Ether,18,1000000000,0.000000001,0xe934039cf4623836af4c86feff639284a15c74d8e47cf3f88f875d0fca16ccd2,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114001_25114100/transaction_25114061.csv,374
0x67fd91182cfc427c1b210ab440a8e78e5a1bd60d,0xf84bd20098cbf4148dc24177ef37d778af5ab390,25114058,transaction,ETH,ETH,Ether,18,1000000000,0.000000001,0x007e935ebf7c16a8c02d4268dbc08c39809ab3a2d2c6d4239ddcb76334d33572,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114001_25114100/transaction_25114058.csv,144
0xea21671b077e11f2679f5c8f013827cb55704af7,0xf84bd20098cbf4148dc24177ef37d778af5ab390,25114047,transaction,ETH,ETH,Ether,18,1000000000,0.000000001,0xc6ed19f6869f45bfee0a71025730903dd698932f1b1a923fad4c660929401f93,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114001_25114100/transaction_25114047.csv,224
