address,incoming_edges,outgoing_edges
0x0000000000000000000000000000000000000000,0,16
0x00009d17b7b809e38f30892cff11650763b80000,0,2
0x0344936ff22c35e7df5b1e66d77e9ae689569144,0,1
0x055ba0f3f33e1bc383956b8bb05c7a32f40b5a15,0,1
0x06b7f63332835c9632fc95e0ecafd3e064b75d64,3,2
0x092e57c4ed8daf63f874756f450b48bd4b5ca81e,0,1
0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,8,3
0x0bea61363d455cf1ceefc135be32703ac6626041,0,5
0x162aa384383e328cba79a0f3b54605e382c6eaca,0,1
0x162ad7ecb053a519e82b6c425bbdc66b8a61eaca,0,1
0x162ee259e3d38f20d6faab9b0e2437497544eaca,0,1
0x17af9faa44cce36381d45d9e65b76c558b2ea41a,0,1
0x18412a72ed2d06aa1f2cef5e6eba712ba093af5a,5,1
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0,4
0x1c37574a7f04f413b3ea4af204ac45f12beeada4,0,1
0x233b04e2b8c6611a930f8974eb67057f9f2062ee,1,6
0x2ce4389bcf14a20a379e8abab31aecba6812cf9a,1,1
0x2ce941417cb123d8914262b959d5f0ccb0e6cf9a,1,2
0x2cfa15d705cba40b1a9e74a4be2e73faca81b485,0,1
0x33ffc177a7278ff84aab314a036bc7b799b7cc15,10,1
0x359441b6dc69a3c963d7a7a8c4fbf7cbaca8152e,9,2
0x36c306677435e7e445454e8aa6ff4883568ffc6d,0,1
0x38efe473586e2829b907165d6087591f46a88751,0,1
0x3c69952e3141c04470ba8f8cb573ce539db49d25,0,1
0x3e19057fab794416c9130ef3b5d3e5b56dcb2328,1,1
0x41d9aa63eb9f6ecdfa10b5c24280d7ab4ff36ac1,3,2
0x4215a14e08f6805b273560d2c88fda2d1ba9d4b3,1,1
0x4242da9ed63d73096ba1b84e05aa5d1fd8149493,0,1
0x44109379b213054191acab9b909434fa9ceb2ad8,0,2
0x45300136662dd4e58fc0df61e6290dffd992b785,10,1
0x46264ab0bf72b27c992e9d0d061305f99bd3b2f9,0,1
0x46a125c7cd537848235d3660b469d5dc8c26c053,1,4
0x46a1c6f50bf1bccc568081847a78d400c10ac053,2,1
0x46ad862063088260ccf49c7fccd1aad1e313c053,2,2
0x49691a03521fda7691859068a6c4a41eff96430c,3,2
0x498c87ba9ee22a59b64e5ca6c087fffc0cab357e,0,1
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,7,6
0x4f89fb6893499c2ada917c2aa67405c201a48253,1,0
0x5027fe2d3d5d47467022833999765ac8d31923c2,0,1
0x51609a24cd1aad7cd3525efca4212a596229f357,0,2
0x54e1891c3a0c66dce6aba660c1b6bd452f040b6d,0,1
0x5ab3b4c02b74f36b27af296a6c7e8206b58ecfd9,1,1
0x5ea80e24c00e8f39fefc17bc4e4445a53d1cac25,0,1
0x60d1362b96e56fa88eac76126813127ec0856119,2,1
0x6331df6755f9835302b4b36b48dae9e82004cbf5,0,1
0x644488eb67ae5396709861d1d741dadc30f7f56e,5,1
0x67fd648f715c99bbcec6f2064e3e260ff2f5d60d,0,1
0x67fddb541c4ed17123658f2881a076cd7871d60d,0,1
0x74b0fd8d2118d7a6ffe81ca44056a166283bdcc4,3,2
0x777f53d1709835798c4078ca4a54402e8bdc1320,1,1
0x7d9f4ca54131e588fc1fe577973b55fb11231e76,0,4
0x7e41d7a28536db1774bb9c432615eae8e7b85517,9,1
0x829425b2a5be38ea5eea308fbe449fb9a63eb1fc,0,1
0x845eaab9036e65d106602b6ca4659633617a6f08,1,1
0x8aa81f2217b693c1fcd1a44337e864305d1ea29c,3,2
0x8c30b75024a029306b092b8f4e5f06cc10bd2744,2,1
0x8ce5893915cba3dcd57d875ab8f21a1e97b1f6f8,1,1
0x8ed89451d8ba9a90a3911b26d9ed656c184f654b,3,2
0x902a628d422ca28e0a869f641eb2963562660388,0,2
0x9183615a9b41bcbefa881cddb0f6027801c3871a,0,1
0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,10,3
0x93ecadcb319764b595ae13e60d15707140603aae,0,1
0x980c30b2575e9cef5e8ba4f92a3ec71ad2daccab,0,1
0x98fdc3c7b138bccad87fe9d682d213d2628cc609,0,2
0xa09c7b828b9601127b5cc9e9929e3e672ab1e93b,0,1
0xa48311dcc07c3628c6dfc90126f04d2e3d5d4844,0,1
0xa6354d56e6c1006cc4cfbbee27a2618a2ebae253,0,1
0xaff7ce9653f9d50e3e6e89d79bd226f9c34b9121,2,1
0xb069939daf374b7f9ec0db2a70264c13077d2e35,0,1
0xb2c3fa8a1ba9197e0a800c56411208752f87f58d,0,1
0xb7550aa32f0393daa04b9362dd02d642bc529bf2,1,1
0xb97f4144ce3c4cc8a1b882d4a44ecae3c028b930,6,2
0xba9baf07bbbcfbb5b791d5e0b52772505b277506,0,1
0xbb4b4ac6e84e5731a3f23438c27f7fd7b719188f,0,1
0xbbd0d4d067d5af2065b1b6fd936d93237ae1c56c,0,1
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0,1
0xc0dc71bdb49bb5c03ee11290990a709722771e62,3,2
0xc2710717d80e151d84df7a8f72cf5ee4b0a92a1f,3,2
0xc2b5e5ab67de5ff83b446becd9df8221b76e9ca7,3,2
0xc3cec9129bb7ffb6c855dc7aca418a86c1b9192a,5,3
0xc8a8caf7be9f780b70e5b1784a35842b3ba8ef0e,1,1
0xc9885089114ba707908f095df0b12a1be922ae2e,3,1
0xd0e060d743fc561481208cc41bd85a158adf1a8b,2,2
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,10,10
