token_address,token_name,token_symbol,decimals,metadata_source,occurrence_count,first_block,last_block
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,token_list,1115492,25112101,25119300
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDCoin,USDC,6,token_list,740139,25112101,25119300
0x43e6228b5bf22eab754486082ca91fdd8585521a,,,,missing_from_token_list,454035,25112561,25119300
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,token_list,249566,25112101,25119300
0x5b40f9e45655ebf058e253444c90019a61012437,,,,missing_from_token_list,196499,25112101,25119300
0x21e6c175cba81237fe44cd63a12d175203dca3f8,,,,missing_from_token_list,119916,25112101,25119300
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,,,,missing_from_token_list,114402,25112109,25119296
0x0a7bc70edebfff7094c51fecb055d7cc4c89e8a9,,,,missing_from_token_list,48633,25112101,25119300
0xbeef007ecfbfdf9b919d0050821a9b6dbd634ff0,,,,missing_from_token_list,43338,25112197,25119258
0xf1072434331489c09ffd147d80f38a0cf45e85dd,,,,missing_from_token_list,40654,25116008,25116300
0x2cd8b140abd0916d9bc55870d48f2b62a903b9e2,,,,missing_from_token_list,36102,25116308,25116600
0x954ab6117fbf1ee5fa84f17506be9d5b26ab572c,,,,missing_from_token_list,32191,25116610,25116899
0x7cd723977a656f0341422f421a3f9660e8a8f938,,,,missing_from_token_list,25736,25116008,25116300
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,8,token_list,23756,25112101,25119300
0x790ac2e4c582025a549c42f9f0ea0437418509ff,,,,missing_from_token_list,21776,25116308,25116600
0x4a1b9a8ae3717f2010a197e9237877e8514f6dea,,,,missing_from_token_list,20980,25115408,25115701
0x75e43a3eee0c70cb04327dac42771156b4893b6d,,,,missing_from_token_list,19698,25115141,25119253
0x272deb41c66c4a99f59b895d026288543af9fbd1,,,,missing_from_token_list,18363,25116610,25116899
0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,,,,missing_from_token_list,15265,25112997,25118532
0xd2d6ce0945793f7e2d1a5b05375f0fa229d642df,,,,missing_from_token_list,15243,25116952,25119000
0x9f707b73f912ec6e71fdc7ffd62574864ab85056,,,,missing_from_token_list,15113,25116562,25118806
0x0e74363bba068f2a9ce31aa035a0610b020ab41a,,,,missing_from_token_list,14724,25115129,25118865
0x860bfdf60632d98b202c492c4176a3e086996f21,,,,missing_from_token_list,13706,25115408,25115701
0xf280b16ef293d8e534e370794ef26bf312694126,,,,missing_from_token_list,12234,25112102,25119299
0x45804880de22913dafe09f4980848ece6ecbaf78,PAX Gold,PAXG,18,token_list,11788,25112102,25119299
0x54bbbf137ce6a2c0e0de6d9fdb419177f4e8b1fc,,,,missing_from_token_list,11089,25115383,25117074
0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,token_list,10215,25112104,25119299
0x9711f4c3ec6428b2debc80adee3e4a9518240fc6,,,,missing_from_token_list,10018,25112272,25112806
0x12a77658112cf42914cb614d13653ed5852da1e5,,,,missing_from_token_list,9718,25112104,25119300
0xd3a5463a509b35e15a2cef87f7609e9f21a616e9,,,,missing_from_token_list,9664,25114329,25114976
0x214748fc525c1b001e5d4eeb16a3f0b7eab042b3,,,,missing_from_token_list,8681,25112824,25119299
0x81de3a992822ab817bc709ac0a1e48dbae9bcf5d,,,,missing_from_token_list,7950,25112102,25119122
0xf480f619e615460f1190f673abade76b381d87df,,,,missing_from_token_list,7862,25115520,25119004
0x829f4b62eebe12af653b4dd4ffc480966f7d7f09,,,,missing_from_token_list,7782,25112103,25119300
0x4a1a2e529122ae2c27abaacfa86fd5d2a256b0a7,,,,missing_from_token_list,7541,25116361,25116528
0x2ce37b9f1375d25791b511349c3ebb2d6d68bd00,,,,missing_from_token_list,7456,25113784,25119293
0xd95921d552fde3587b1961ce65b7e27ed3ec1b41,,,,missing_from_token_list,7302,25116412,25118134
0xd39299ada938324d2b71c4f5f06191a7afafa8ec,,,,missing_from_token_list,7167,25115897,25119074
0x850322a3ac51517db911dcd7185ecdc84d10bec4,,,,missing_from_token_list,7137,25116870,25119060
0x8f1324bb714a102974780a309477f7e99cb53016,,,,missing_from_token_list,7042,25116008,25116300
0x547b673771553ae1dbf66fbadd93d4f4af0821d3,,,,missing_from_token_list,6924,25119010,25119299
0x2f620f2eb60fbe665edf91a7dccfab09edf7d500,,,,missing_from_token_list,6395,25115668,25116302
0x1f34a4803b7f3bf4c53e11c7f24cdd99c8e39861,,,,missing_from_token_list,6201,25115109,25115399
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK,18,token_list,6131,25112102,25119299
0x884649f1fe3bf3ae0bd720eaf660cb561dce39ef,,,,missing_from_token_list,6066,25114567,25119255
0x52c6a0e682b5fd4256077df20c066be98687a36c,,,,missing_from_token_list,5868,25115708,25115998
0xd533a949740bb3306d119cc777fa900ba034cd52,Curve DAO Token,CRV,18,token_list,5729,25112102,25119299
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,,,,missing_from_token_list,5373,25112109,25119300
0x44b28991b167582f18ba0259e0173176ca125505,,,,missing_from_token_list,5030,25112101,25119300
0x08bb3a75e6993a839ee316ecbf1ed015ae485390,,,,missing_from_token_list,4638,25119010,25119299
0xe578328dfbe052525ec02f7f6d3785795b8d0ef4,,,,missing_from_token_list,4423,25115408,25115701
0x373a672f6b3c43afc789ed43e49a8d669b3d3387,,,,missing_from_token_list,4356,25113853,25117484
0x6c3ea9036406852006290770bedfcaba0e23a0e8,PayPal USD,PYUSD,6,token_list,4317,25112102,25119298
0x4d7078ddd6ccfed2f85db5b7d3ff16828d378d48,Gensyn,AI,18,token_list,4306,25112121,25119300
0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,Coinbase Wrapped BTC,cbBTC,8,token_list,4112,25112121,25119299
0x6012fb19f8dcc5502385f2f9896652a8af192946,,,,missing_from_token_list,4108,25115234,25117750
0x50f41f589afaca2ef41fdf590fe7b90cd26dee64,Irys,IRYS,18,token_list,4089,25112101,25119300
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,token_list,4017,25112103,25119295
